LandContour,GarageYrBlt,FullBath,BsmtFinSF1,TotRmsAbvGrd,ExterQual,OpenPorchSF,Heating,Condition2,OverallQual,GarageCars,KitchenQual,KitchenAbvGr,2ndFlrSF,CentralAir,BsmtQual,TotalBsmtSF,Fireplaces,SalePrice
Lvl,2003.0,2,706,8,Gd,61,GasA,Norm,7,2,Gd,1,854,Y,Gd,856,0,208500
Lvl,1976.0,2,978,6,TA,0,GasA,Norm,6,2,TA,1,0,Y,Gd,1262,1,181500
Lvl,2001.0,2,486,6,Gd,42,GasA,Norm,7,2,Gd,1,866,Y,Gd,920,1,223500
Lvl,1998.0,1,216,7,TA,35,GasA,Norm,7,3,Gd,1,756,Y,TA,756,1,140000
Lvl,2000.0,2,655,9,Gd,84,GasA,Norm,8,3,Gd,1,1053,Y,Gd,1145,1,250000
Lvl,1993.0,1,732,5,TA,30,GasA,Norm,5,2,TA,1,566,Y,Gd,796,0,143000
Lvl,2004.0,2,1369,7,Gd,57,GasA,Norm,8,2,Gd,1,0,Y,Ex,1686,1,307000
Lvl,1973.0,2,859,7,TA,204,GasA,Norm,7,2,TA,1,983,Y,Gd,1107,2,200000
Lvl,1931.0,2,0,8,TA,0,GasA,Norm,7,2,TA,2,752,Y,TA,952,2,129900
Lvl,1939.0,1,851,5,TA,4,GasA,Artery,5,1,TA,2,0,Y,TA,991,2,118000
Lvl,1965.0,1,906,5,TA,0,GasA,Norm,5,1,TA,1,0,Y,TA,1040,0,129500
Lvl,2005.0,3,998,11,Ex,21,GasA,Norm,9,3,Ex,1,1142,Y,Ex,1175,2,345000
Lvl,1962.0,1,737,4,TA,0,GasA,Norm,5,1,TA,1,0,Y,TA,912,0,144000
Lvl,2006.0,2,0,7,Gd,33,GasA,Norm,7,3,Gd,1,0,Y,Gd,1494,1,279500
Lvl,1960.0,1,733,5,TA,213,GasA,Norm,6,1,TA,1,0,Y,TA,1253,1,157000
Lvl,1991.0,1,0,5,TA,112,GasA,Norm,7,2,TA,1,0,Y,TA,832,0,132000
Lvl,1970.0,1,578,5,TA,0,GasA,Norm,6,2,TA,1,0,Y,TA,1004,1,149000
Lvl,1967.0,2,0,6,TA,0,GasA,Norm,4,2,TA,2,0,Y,TA,0,0,90000
Lvl,2004.0,1,646,6,TA,102,GasA,Norm,5,2,Gd,1,0,Y,TA,1114,0,159000
Lvl,1958.0,1,504,6,TA,0,GasA,Norm,5,1,TA,1,0,Y,TA,1029,0,139000
Lvl,2005.0,3,0,9,Gd,154,GasA,Norm,8,3,Gd,1,1218,Y,Ex,1158,1,325300
Bnk,1930.0,1,0,6,TA,0,GasA,Norm,7,1,Gd,1,0,Y,TA,637,1,139400
Lvl,2002.0,2,0,7,Gd,159,GasA,Norm,8,2,Gd,1,0,Y,Gd,1777,1,230000
Lvl,1976.0,1,840,6,TA,110,GasA,Norm,5,2,TA,1,0,Y,Gd,1040,1,129900
Lvl,1968.0,1,188,6,TA,90,GasA,Norm,5,1,Gd,1,0,Y,TA,1060,1,154000
Lvl,2007.0,2,0,7,Gd,56,GasA,Norm,8,3,Gd,1,0,Y,Gd,1566,1,256300
Lvl,2005.0,1,234,5,TA,32,GasA,Norm,5,2,Gd,1,0,Y,TA,900,0,134800
Lvl,2008.0,2,1218,7,Gd,50,GasA,Norm,8,3,Gd,1,0,Y,Ex,1704,1,306000
Lvl,1957.0,1,1277,6,TA,258,GasA,Norm,5,1,TA,1,0,Y,TA,1484,2,207500
Lvl,1920.0,1,0,4,TA,0,GasA,RRNn,4,1,Fa,1,0,N,TA,520,0,68500
Lvl,1920.0,1,0,6,TA,54,GasA,Norm,4,1,TA,1,668,N,TA,649,0,40000
Lvl,1966.0,1,0,6,TA,65,GasA,Norm,5,1,Gd,1,0,Y,TA,1228,0,149350
Lvl,2007.0,2,0,7,Gd,30,GasA,Norm,8,2,Gd,1,0,Y,Ex,1234,0,179900
Lvl,1959.0,1,1018,6,TA,38,GasA,Norm,5,2,Gd,1,0,Y,TA,1398,1,165500
Lvl,2005.0,2,1153,6,Ex,47,GasA,Norm,9,2,Ex,1,0,Y,Ex,1561,1,277500
